,Beer_name,ID_Nr,Price_SEK,Bottle,Volume_ml,Alcohol_content,Bitterness,Fullness,Sweetness,Kind,Color,Producer,Info,Link,APK,SEK_p_l
10,"Arboga 7,3",1392,13.9,False,330,0.073,5,7,4,Starkare lager,Gul färg. ,Three Towns Ind Brewers ,"Maltig smak med sötma, inslag av sirapslimpa och honung. Serveras vid 8-10°C till smakrik husmanskost.",https://www.systembolaget.se//dryck/ol/arboga-73-139212,1.733,42.1
11,Arboga Mörk Lager,1314,14.4,False,330,0.055,6,7,2,Dunkel,Brunsvart färg. ,Three Towns Ind Brewers ,"Maltig, något rostad smak med inslag av mörk sirap, kavring, torkad frukt och pomerans. Serveras vid 8-10°C som sällskapsdryck, eller till rätter av fläsk-, lamm- eller nötkött.",https://www.systembolaget.se//dryck/ol/arboga-mork-lager-131412,1.26,43.6
12,Arboga Originalet,1280,16.4,False,500,0.055999999999999994,5,5,1,Dortmunder och helles,"Mörk, gul färg. ",Three Towns Ind Brewers ,"Maltig smak med inslag av aprikos, knäckebröd och apelsin. Serveras vid 8-10°C till fisk eller till ljust kött, eller som sällskapsdryck",https://www.systembolaget.se//dryck/ol/arboga-originalet-128012,1.707,32.8
13,Arboga Originalet,1422,11.9,False,330,0.055999999999999994,5,5,1,Dortmunder och helles,"Mörk, gul färg. ",Three Towns Ind Brewers ,"Maltig smak med inslag av aprikos, knäckebröd och apelsin. Serveras vid 8-10°C till fisk eller till ljust kött, eller som sällskapsdryck",https://www.systembolaget.se//dryck/ol/arboga-originalet-142215,1.553,36.1
14,"Arboga Specialbrygd 6,5",1375,13.4,False,330,0.065,6,6,1,Starkare lager,Gul färg. ,Three Towns Ind Brewers ,"Maltig smak med inslag av knäckebröd, örter och citrus. Serveras vid 8-10°C till rätter av fisk eller ljust kött, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/arboga-specialbrygd-65-137515,1.601,40.6
15,Arctic Beer,1397,14.9,False,500,0.045,5,5,1,Internationell stil,Gul färg. ,Macks Ölbryggeri AS ,"Maltig smak med inslag av ljust bröd, örter, citrus och honung. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk, skaldjur eller kyckling.",https://www.systembolaget.se//dryck/ol/arctic-beer-139712,1.51,29.8
16,Arte in Lattina,1113,14.9,False,330,0.052000000000000005,5,5,1,Internationell stil,"Ljus, gul färg. ",Birra Menabrea ,"Maltig smak med inslag av ljust bröd, örter och citrus. Serveras vid 8-10°C som sällskapsdryck, eller till rätter av fisk och ljust kött.",https://www.systembolaget.se//dryck/ol/arte-in-lattina-111315,1.152,45.2
17,Arton56,11427,10.9,True,330,0.052000000000000005,4,4,3,Internationell stil,Gul färg. ,Åbro Bryggeri ,"Diskret, brödig smak med inslag av citrus, päron och smörkola. Serveras vid cirka 8°C som sällskapsdryck eller till rätter av fisk, kyckling eller gris.",https://www.systembolaget.se//dryck/ol/arton56-1142703,1.574,33.0
18,Asahi,1556,16.9,True,330,0.052000000000000005,3,4,1,Internationell stil,Gul färg. ,Asahi Beer ,"Maltig smak inslag av rostat bröd, citrus och honung. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk eller ljust kött.",https://www.systembolaget.se//dryck/ol/asahi-155603,1.015,51.2
19,Aufschneider,1335,29.9,True,500,0.06,5,6,1,Hopfenweizen,"Oklar, mörk, gul färg. ",Freigeist Bierkultur ,"Kryddig, något humlearomatisk smak med inslag av ljust bröd, kryddnejlika, banan, honung och citrus. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fläsk- eller lammkött.",https://www.systembolaget.se//dryck/ol/aufschneider-133501,1.003,59.8
20,Ayinger Celebrator,1589,23.9,True,330,0.067,6,8,5,Dubbelbock,Brunröd färg. ,Brauerei Aying ,"Nyanserad, maltig smak med sötma, inslag av vörtbröd, torkad frukt, apelsin, farinsocker, nejlika och ingefära. Serveras vid 10-12°C till rätter av mörkt kött eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/ayinger-celebrator-158903,0.925,72.4
21,Backyard Brew,1458,12.9,False,330,0.047,6,6,1,Modern stil,"Ljus, gulbrun färg. ",Carlsberg Sverige AB ,"Fruktig, något humlearomatisk smak med inslag av apelsin, honung, örter, aprikos och ljust bröd. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/backyard-brew-145803,1.202,39.1
22,Baird Beer,1312,23.9,True,330,0.05,2,4,1,Witbier,"Något oklar, gul färg. ",Baird Brewing Co ,"Kryddig smak med inslag av ljust bröd, honung, korianderfrön, aprikos och apelsin. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk och ljust kött.",https://www.systembolaget.se//dryck/ol/baird-beer-131203,0.69,72.4
23,Ballast Point,89928,27.9,False,355,0.07,9,7,2,India pale ale (IPA),Gulbrun färg. ,Ballast Point Brewing ,"Humlearomatisk smak med tydlig beska, inslag av tropisk frukt, ambrosiakaka, tallkåda och grapefruktskal. Serveras vid 8-10°C som sällskapsdryck, till rätter av lamm- och nötkött.",https://www.systembolaget.se//dryck/ol/ballast-point-8992815,0.891,78.6
24,Ballast Point,20026,20.9,False,355,0.055,8,7,2,India pale ale (IPA),"Mörk, gul färg. ",Ballast Point Brewing ,"Humlearomatisk smak med tydlig beska, inslag av aprikosmarmelad, apelsin, grapefrukt, honung och knäck. Serveras vid 8-10°C som sällskapsdryck eller till rätter av lamm- eller nötkött.",https://www.systembolaget.se//dryck/ol/ballast-point-2002615,0.934,58.9
25,Baron Trenck,11455,23.5,True,500,0.06,6,7,2,Starkare lager,"Mörk, gyllengul färg. ",Starobrno ,"Fruktig smak med inslag av ljust bröd, tropisk frukt, knäck, citrusskal och örter. Serveras vid cirka 8°C som sällskapsdryck eller till exempelvis husmanskost.",https://www.systembolaget.se//dryck/ol/baron-trenck-1145501,1.277,47.0
26,Basecamp,12416,17.9,False,330,0.047,6,6,2,Pilsner - tysk stil,Gul färg. ,Fourpure Brewing Co ,"Maltig smak med inslag av knäckebröd, honung, färska örter, halm och citrus. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fisk eller ljust kött.",https://www.systembolaget.se//dryck/ol/basecamp-1241615,0.866,54.2
27,Bavaria Premium,1560,11.4,True,250,0.05,5,4,2,Internationell stil,"Mörk, gul färg. ",Bavaria ,"Maltig smak med inslag av knäckebröd, örter och citrus. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/bavaria-premium-156003,1.096,45.6
28,Bavaria Premium,1259,17.9,False,500,0.05,5,6,1,Internationell stil,Gul färg. ,Bavaria ,"Örtig smak med inslag av citrus, ljust bröd och aprikos. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fisk eller skaldjur.",https://www.systembolaget.se//dryck/ol/bavaria-premium-125912,1.397,35.8
29,Beavertown Gamma Ray,82627,30.9,False,330,0.054000000000000006,8,7,2,Amerikansk pale ale (APA),"Något oklar, mörk, gul färg. ",Beavertown Brewery ,"Fruktig, humlearomatisk smak med tydlig beska, inslag av nektarin, tallbarr, ananas, sockerkaka, aprikos och apelsin. Serveras vid 8-10°C till rätter av fläsk- eller lammkött eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/beavertown-gamma-ray-8262703,0.577,93.6
30,Bedarö Bitter,1410,28.9,True,500,0.045,7,6,1,Engelsk pale ale och bitter,"Ljus, brungul färg. ",Nynäshamns Ångbryggeri ,"Nyanserad, maltig smak med inslag av aprikos, apelsinskal, honung och örter. Serveras vid 11-13°C som sällskapsdryck eller till husmanskost.",https://www.systembolaget.se//dryck/ol/bedaro-bitter-141001,0.779,57.8
31,Beerbliotek,31715,25.9,False,330,0.047,7,6,1,Session IPA,"Något oklar, ljus gul färg. ",Beerbliotek ,"Humlearomatisk, nyanserad smak med tydlig beska, inslag av passionsfrukt, grillad ananas, grapefrukt, granskott och citron. Serveras vid 8-10°C som sällskapsdryck eller till rätter av ljust kött.",https://www.systembolaget.se//dryck/ol/beerbliotek-3171515,0.599,78.5
32,Beerbliotek & Six Degrees North,33254,31.9,False,330,0.068,8,7,1,India pale ale (IPA),"Oklar, gul färg. ",Beerbliotek ,"Fruktig, humlearomatisk smak med tydlig beska, inslag av ananas, passionsfrukt, tallbarr, honung och grapefrukt. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fläsk- eller lammkött.",https://www.systembolaget.se//dryck/ol/beerbliotek-six-degrees-north-3325415,0.703,96.7
33,"Bellman 6,0",1279,15.9,False,500,0.06,6,6,2,Starkare lager,Gul färg. ,Carlsberg Sverige AB ,Maltig smak med inslag av honung och aprikos. Serveras vid 8-10°C till husmanskost.,https://www.systembolaget.se//dryck/ol/bellman-60-127912,1.887,31.8
34,Bernard,1394,16.9,True,330,0.05,6,6,3,Polotmavý,Brunröd färg. ,Pivovar Bernard ,"Knäckig smak med liten sötma, inslag av torkad frukt, farinsocker, örter och pomerans. Serveras vid 8-10°C till rätter av lamm- eller nötkött, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/bernard-139403,0.976,51.2
35,Bernard,89252,24.9,True,500,0.05,6,6,1,Pilsner - tjeckisk stil,Gyllengul färg. ,Pivovar Bernard ,"Maltig smak med inslag av knäckebröd, honung och citrus. Serveras vid 8-10°C till rätter av ljust kött eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/bernard-8925201,1.004,49.8
36,Bitburger,2461,16.9,False,500,0.048,5,5,1,Pilsner - tysk stil,Gul färg. ,Bitburger Brauerei ,"Maltig smak med inslag av honung, ljust bröd, färska örter och citrus. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fisk eller ljust kött.",https://www.systembolaget.se//dryck/ol/bitburger-246112,1.42,33.8
37,Bitburger,1565,13.9,True,330,0.048,5,6,1,Pilsner - tysk stil,Gul färg. ,Bitburger Brauerei ,"Brödig smak inslag av honung, citrusskal och halm. Serveras vid 6-8°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/bitburger-156503,1.14,42.1
38,Blue Moon,89120,18.9,True,330,0.054000000000000006,3,5,2,Witbier,"Oklar, gul färg. ",Molson Coors Brewing Company ,"Kryddig smak med inslag av kryddpeppar, ljust bröd, jasminris och honung. Serveras vid 8-10°C som sällskapsdryck eller till rätter av ljust kött.",https://www.systembolaget.se//dryck/ol/blue-moon-8912003,0.943,57.3
39,Blågul,1135,12.8,False,500,0.05,4,4,2,Internationell stil,"Mörk, gul färg. ",Carlsberg Sverige AB ,"Maltig smak med inslag av knäckebröd, aprikos och apelsin. Serveras vid 8-10°C som sällskapsdryck eller till ljust kött.",https://www.systembolaget.se//dryck/ol/blagul-113512,1.953,25.6
40,Bocanegra Pilsner,1110,17.0,True,355,0.05,6,6,2,Internationell stil,Gulbrun färg. ,Artesanas de Malta y Cebada ,"Maltig smak med inslag av sirapslimpa, aprikos, pomerans och kryddor. Serveras vid 8-10°C som sällskapsdryck, eller till vegetariska rätter och rätter av ljust kött.",https://www.systembolaget.se//dryck/ol/bocanegra-pilsner-111003,1.044,47.9
41,BrewDog,1220,26.9,True,330,0.08,6,8,6,Skotsk ale,"Mörk, brungul färg. ",BrewDog ,"Maltig, rostad smak med sötma, inslag av mörkt bröd, sirap, kaffe, smörkola och russin. Serveras vid 12-14°C till rätter av mörkt kött.",https://www.systembolaget.se//dryck/ol/brewdog-122003,0.981,81.5
42,BrewDog Clockwork Tangerine,11463,17.9,False,330,0.045,7,6,2,Session IPA,"Mörk, gul färg. ",BrewDog ,"Mycket fruktig smak med tydlig beska, inslag av mandarin, mango, örter och apelsinskal. Serveras vid 8-10°C som sällskapsdryck eller till rätter av ljust kött.",https://www.systembolaget.se//dryck/ol/brewdog-clockwork-tangerine-1146315,0.83,54.2
43,BrewDog Dead Pony Club,11913,19.9,False,330,0.038,7,5,1,Session IPA,Gulbrun färg. ,BrewDog ,"Humlearomatisk smak med inslag av aprikos, grapefrukt, apelsinskal, basilika och sirap. Serveras vid 10-12°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/brewdog-dead-pony-club-1191303,0.63,60.3
44,Brewdog Punk IPA,1515,19.9,True,330,0.055999999999999994,8,7,1,India pale ale (IPA),"Något oklar, mörk, gul färg. ",BrewDog ,"Humlearomatisk smak med tydlig beska, inslag av aprikos, apelsinmarmelad, ljust bröd, tallbarr och grapefrukt. Serveras vid 10-12°C som sällskapsdryck, eller till smakrika rätter av lamm-eller nötkött.",https://www.systembolaget.se//dryck/ol/brewdog-punk-ipa-151503,0.929,60.3
45,Brewdog Punk IPA,89892,20.9,False,330,0.055999999999999994,8,7,1,India pale ale (IPA),"Något oklar, mörk, gul färg. ",BrewDog ,"Humlearomatisk smak med tydlig beska, inslag av aprikos, apelsinmarmelad, ljust bröd, tallbarr och grapefrukt. Serveras vid 10-12°C som sällskapsdryck, eller till smakrika rätter av lamm-eller nötkött.",https://www.systembolaget.se//dryck/ol/brewdog-punk-ipa-8989215,0.884,63.3
46,Brewski Pango IPA,30993,32.9,True,330,0.059000000000000004,7,6,2,India pale ale (IPA),"Oklar, gul färg. ",Brewski ,"Nyanserad, humlearomatisk smak med tydlig beska, inslag av ananas, passionsfrukt, mango, tallbarr och grapefrukt. Serveras vid 10-12°C till rätter av lamm- eller nötkött eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/brewski-pango-ipa-3099303,0.592,99.7
47,Breznak,1611,11.9,False,330,0.051,6,6,2,Pilsner - tjeckisk stil,"Mörk, gul färg. ",Drinks Union ,"Maltig smak med inslag av knäckebröd, aprikos och apelsinskal. Serveras vid 8-10°C som sällskapsdryck eller till husmanskost.",https://www.systembolaget.se//dryck/ol/breznak-161115,1.414,36.1
48,Bright Brew,1447,15.5,False,500,0.05,5,5,1,Internationell stil,Gul färg. ,Spendrups ,Maltig smak med inslag av knäckebröd och citrus. Serveras vid cirka 8°C till inte alltför kraftiga rätter av fisk eller kött.,https://www.systembolaget.se//dryck/ol/bright-brew-144712,1.613,31.0
49,Brok,2581,14.9,False,500,0.052000000000000005,5,5,1,Internationell stil,Gul färg. ,Van Pur ,"Maltig smak med inslag av knäckebröd, apelsinskal och örter. Serveras vid 8-10°C som sällskapsdryck, eller till rätter av fisk och ljust kött.",https://www.systembolaget.se//dryck/ol/brok-258112,1.745,29.8
50,Brokholmen Pilsner,1690,19.6,True,330,0.049,6,6,2,Pilsner - tysk stil,Gyllengul färg. ,Sundance Wines ,"Maltig smak med inslag av knäckebröd, apelsinskal, halm och honung. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fågel-, fläsk- eller lammkött.",https://www.systembolaget.se//dryck/ol/brokholmen-pilsner-169003,0.825,59.4
51,Brooklyn,1688,23.9,True,355,0.069,8,7,2,India pale ale (IPA),"Mörk, orange färg. ",Brooklyn Brewery ,"Humlearomatisk, fruktig smak med tydlig beska, inslag av torkade aprikoser, ananas, ljus sirap och tallbarr. Serveras vid 11-13°C som sällskapsdryck, eller till smakrik husmanskost.",https://www.systembolaget.se//dryck/ol/brooklyn-168803,1.025,67.3
52,Brooklyn,11304,23.9,True,355,0.045,2,4,1,Övrig syrlig öl,Gul färg. ,Brooklyn Brewery ,"Något humlearomatisk, syrlig smak med inslag av gröna äpplen, örter, citron och grapefrukt. Serveras vid 6-8°C som aperitif eller till rätter av fisk eller skaldjur.",https://www.systembolaget.se//dryck/ol/brooklyn-1130403,0.668,67.3
53,Brooklyn,1016,23.9,True,330,0.069,8,7,2,India pale ale (IPA),"Mörk, gul färg. ",Brooklyn Brewery ,"Nyanserad, fruktig smak med tydlig beska, inslag av torkad ananas, ambrosiakaka, tallkåda och bergamott. Serveras vid 8-10°C till rätter av lamm- och nötkött, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/brooklyn-101603,0.953,72.4
54,Brooklyn,1304,21.9,False,330,0.055,8,7,2,India pale ale (IPA),"Mörk, gul färg. ",Carlsberg Sverige AB ,"Humlearomatisk, fruktig smak med tydlig beska, inslag av mango, apelsinmarmelad, honung och grapefrukt. Serveras vid 8-10°C som sällskapsdryck, eller till rätter av lamm- och nötkött.",https://www.systembolaget.se//dryck/ol/brooklyn-130415,0.829,66.4
55,Brooklyn Lager,1548,17.9,True,355,0.052000000000000005,7,7,1,Märzen och wienerstil,"Mörk, gyllengul färg. ",Brooklyn Brewery ,"Nyanserad, maltig smak med inslag av apelsinmarmelad, knäck, örter, aprikos och rågbröd. Serveras vid cirka 10°C till smakrik husmanskost.",https://www.systembolaget.se//dryck/ol/brooklyn-lager-154803,1.031,50.4
56,Brooklyn Lager,1519,18.9,False,330,0.052000000000000005,7,7,2,Märzen och wienerstil,"Mörk, gyllengul färg. ",Carlsberg Sverige AB ,"Nyanserad, maltig smak med tydlig beska, inslag av apelsinmarmelad, knäck, mango, aprikos och sirapslimpa. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fläsk- lamm- eller nötkött.",https://www.systembolaget.se//dryck/ol/brooklyn-lager-151915,0.908,57.3
57,Brooklyn Lager,1017,17.9,True,330,0.052000000000000005,7,7,1,Märzen och wienerstil,Gulbrun färg. ,Brooklyn Brewery ,"Nyanserad, maltig smak med tydlig beska, inslag av apelsinmarmelad, knäck, örter, aprikos och rågbröd. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fläsk-, lamm- eller nötkött.",https://www.systembolaget.se//dryck/ol/brooklyn-lager-101703,0.959,54.2
58,Brooklyn Local 1,1630,99.0,True,750,0.09,4,8,2,Belgisk ljus ale,"Något oklar, gul färg. ",Brooklyn Brewery ,"Nyanserad, mycket fruktig smak med  inslag av aprikos, honung, knäckebröd och mandarin. Serveras vid cirka 8°C som sällskapsdryck eller till rätter av ljust kött eller lamm.",https://www.systembolaget.se//dryck/ol/brooklyn-local-1-163001,0.682,132.0
59,Brutal Brewing,89425,16.7,True,330,0.057999999999999996,8,7,2,India pale ale (IPA),Gulbrun färg. ,Brutal Brewing ,"Nyanserad, något humlearomatisk smak med tydlig beska, med inslag av aprikosmarmelad, sirapslimpa, apelsinskal och honung. Serveras vid 10-12 °C till rätter av lamm- eller nötkött eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/brutal-brewing-8942503,1.146,50.6
60,Bryggmästarens,1414,14.9,True,500,0.057,6,6,1,Dortmunder och helles,Gul färg. ,Åbro Bryggeri ,"Maltig smak med inslag av knäckebröd, apelsinskal och kryddor. Serveras vid 8-10°C till rätter av fläsk- och lammkött, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/bryggmastarens-141401,1.913,29.8
61,Bryggmästarens,1592,14.9,False,500,0.05,5,5,1,Modern stil,Gul färg. ,Åbro Bryggeri ,"Brödig smak med inslag av aprikos, honung, citrus och örter. Serveras vid 6-8°C till rätter av fisk eller till ljust kött eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/bryggmastarens-159212,1.678,29.8
62,Bryggmästarens Premium Gold,1445,15.9,False,500,0.057,6,6,1,Dortmunder och helles,Gul färg. ,Åbro Bryggeri ,"Maltig smak med inslag av knäckebröd, apelsinskal och kryddor Serveras vid 8-10°C till rätter av fläsk- och lammkött, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/bryggmastarens-premium-gold-144512,1.792,31.8
63,Budvar,1353,13.4,True,330,0.05,5,5,2,Pilsner - tjeckisk stil,Gul färg. ,Budéjovický Budvar N P ,"Maltig smak med inslag av knäckebröd, aprikos och örter. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk eller ljust kött.",https://www.systembolaget.se//dryck/ol/budvar-135303,1.231,40.6
64,Budvar,1353,15.9,False,500,0.05,5,5,2,Pilsner - tjeckisk stil,Gul färg. ,Budéjovický Budvar N P ,"Maltig smak med inslag av knäckebröd, aprikos och örter. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk eller ljust kött.",https://www.systembolaget.se//dryck/ol/budvar-135312,1.572,31.8
65,Budweiser,1669,14.0,True,330,0.05,3,3,1,Internationell stil,"Ljus, gul färg. ",Anheuser-Busch ,"Fruktig smak med inslag av honung och citrus. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk och ljust kött, gärna med asiatiska inslag.",https://www.systembolaget.se//dryck/ol/budweiser-166903,1.179,42.4
66,Camden,1015,18.0,True,330,0.046,5,5,1,Dortmunder och helles,Gyllengul färg. ,Camden Town Brewery ,"Maltig smak med inslag av ljust bröd, färska örter, halm, honung och citrus. Serveras vid 8-10°C som sällskapsdryck eller till rätter av ljust kött.",https://www.systembolaget.se//dryck/ol/camden-101503,0.843,54.5
67,Captain Lawrence,1210,24.9,False,355,0.045,9,6,1,Session IPA,Gulbrun färg. ,Captain Lawrence Brewing Company ,"Mycket fruktig smak med tydlig beska, inslag av av grapefrukt, mango, ananas, knäck, tallbarr och honung. Serveras vid 8-10°C som sällskapsdryck eller till rätter av lamm- eller nötkött.",https://www.systembolaget.se//dryck/ol/captain-lawrence-121015,0.642,70.1
68,Carlsberg Export,1409,12.7,False,330,0.05,5,6,1,Internationell stil,"Mörk, gul färg. ",Carlsberg Sverige AB ,"Maltig smak med inslag av knäckebröd, honung och  citrusskal. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/carlsberg-export-140915,1.299,38.5
69,Carlsberg Export,1435,17.2,False,500,0.05,5,6,1,Internationell stil,"Mörk, gul färg. ",Carlsberg Sverige AB ,"Maltig smak med inslag av knäckebröd, honung och  citrusskal. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/carlsberg-export-143501,1.453,34.4
70,Carlsberg Export,1435,15.8,False,500,0.05,5,6,1,Internationell stil,"Mörk, gul färg. ",Carlsberg Sverige AB ,"Maltig smak med inslag av knäckebröd, honung och  citrusskal. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/carlsberg-export-143512,1.582,31.6
71,Carlsberg Export,1435,13.9,True,330,0.05,5,6,1,Internationell stil,"Mörk, gul färg. ",Carlsberg Sverige AB ,"Maltig smak med inslag av knäckebröd, honung och  citrusskal. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/carlsberg-export-143503,1.187,42.1
72,Carlsberg Hof,1365,15.5,False,500,0.042,4,4,1,Internationell stil,Gul färg. ,Carlsberg Sverige AB ,"Maltig smak med inslag av citrus, ljust bröd och honung. Serveras vid 8-10°C till husmanskost, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/carlsberg-hof-136512,1.355,31.0
73,Carlsberg Hof,1389,11.9,False,330,0.042,4,4,1,Internationell stil,Gul färg. ,Carlsberg Sverige AB ,"Maltig smak med inslag av citrus, ljust bröd och honung. Serveras vid 8-10°C till husmanskost, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/carlsberg-hof-138915,1.165,36.1
74,Carlsberg Hof,1365,13.5,True,330,0.042,4,4,1,Internationell stil,Gul färg. ,Carlsberg Sverige AB ,"Maltig smak med inslag av citrus, ljust bröd och honung. Serveras vid 8-10°C till husmanskost, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/carlsberg-hof-136503,1.027,40.9
75,Carlsberg Hof,1365,16.5,False,500,0.042,4,4,1,Internationell stil,Gul färg. ,Carlsberg Sverige AB ,"Maltig smak med inslag av citrus, ljust bröd och honung. Serveras vid 8-10°C till husmanskost, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/carlsberg-hof-136501,1.273,33.0
76,Carlsberg Sort Guld,1291,13.9,False,330,0.055,5,5,1,Internationell stil,Gul färg. ,Carlsberg Sverige AB ,"Maltig smak med inslag av knäckebröd, mandarin, honung och timjan. Serveras vid 8-10°C till rätter av fisk och ljust kött, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/carlsberg-sort-guld-129115,1.306,42.1
